Stores,Address,Tel No.,Postal_Code,Latitude,Longitude
McDonald's People's Park,"1 Park Road #01-69 to #01-75, People's Park Complex, Singapore 059108",65360410,59108,1.28413397178419,103.842519972666
McDonald's United Square,101 Thomson Road #B1-11/12 United Square. Singapore 307591,63526197,307591,1.31699088160901,103.843866811519
McDonald's Hougang,"Blk 208 #01-217, Hougang Street 21. Singapore 530208",62865219,530208,1.35869679955104,103.886636111344
McDonald's Jurong Bowl,"1A Yuan Ching Road, SuperBowl Complex. Singapore 618640",62659104,618640,1.32590631772822,103.724523370026
McDonald's Parkway,1 Marine Parade Central #01-01 Parkway Centre. Singapore 449408,63456517,449408,1.30188732078192,103.905996468402
McDonald's Farrer Road,"10 Jalan Serene #01-01, Serene Centre. Singapore 258748",64654352,258748,1.32259059908733,103.81369629522
McDonald's Marina Square,6 Raffles Boulevard #02-156/157/166 Marina Square. Singapore 039594,68832286,39594,1.29157395654843,103.857026955372
McDonald's Plaza Singapura,68 Orchard Road #B1-23/24 Plaza Singapura. Singapore 238839,62387785,238839,1.30082071769235,103.845067272666
McDonald's Toa Payoh Central,600 Lorong 4 Toa Payoh #01-02. Singapore 319515,62596362,319515,1.33403623894465,103.850977706475
McDonald's Yishun,"369 Sembawang Road, #01-01, Singapore 758382",62574276,758382,1.42690781299771,103.826051896017
McDonald's Ang Mo Kio,51 Ang Mo Kio Avenue 3 #01-04 51 @ AMK. Singapore 569922,64586218,569922,1.36929729654979,103.84715944541
McDonald's Tampines,Blk 513 Tampines Central 1 #01-150 Singapore 520513,67841398,520513,1.35391812778833,103.944395754525
McDonald's Tampines Singapore (Kiosk),Blk 512A Tampines Central 1 #01-K1 Singapore 520512,-,520512,1.35436743482952,103.943674728347
McDonald's Forum Galleria,"583 Orchard Road #B1-25, #B1-33, #B1-34, #B1-35 Forum The Shopping Mall. Singapore 238884",67385528,238884,1.30619579912712,103.828509016327
McDonald's Queensway,580 Queensway #01-01. Singapore 149066,64756102,149066,1.30406164409198,103.802110370883
McDonald's Bukit Batok,"Blk 632 Bukit Batok Central #01-38, #01-140 & #01-142. Singapore 650632",65632441,650632,1.34929895794167,103.750830565891
McDonald's Khatib,Blk 846 Yishun Ring Road #01-3669. Singapore 760846,67561271,760846,1.41676014906923,103.834594972776
McDonald's Bugis Village,151 & 152 Rochor Road. Singapore 188426,63382986,188426,1.30090252607461,103.855262679246
McDonald's Boat Quay,1 South Canal Road. Singapore 048508,65344350,48508,1.28578886408586,103.849836306094
McDonald's Northpoint,"#01-12/13 Northpoint Shopping Centre, 930 Yishun Avenue 2. Singapore 769098",67546043,769098,1.42969848626288,103.835776491468
McDonald's Kallang,200 Stadium Boulevard. Singapore 397801,64406010,397801,1.30523371304778,103.88191820246
McDonald's Siglap,55 Siglap Road #01-07/08/09 Siglap Centre. Singapore 455871,64494179,455871,1.31260423094304,103.923185592879
McDonald's Beauty World,144 Upper Bukit Timah Road #01-39/40 Beauty World Centre. Singapore 588177,63140630,588177,1.34239508820554,103.776468301093
McDonald's Ang Mo Kio Ave 10,Blk 448 Ang Mo Kio Avenue 10 #01-1693. Singapore 560448,64568781,560448,1.3674419012314,103.856396604517
McDonald's Bukit Batok West,Blk 152 Bukit Batok Street 11 #01-280. Singapore 650152,65651987,650152,1.34830189530172,103.744257268105
McDonald's Tiong Bahru Plaza,302 Tiong Bahru Road #01-145/146/147 Tiong Bahru Plaza. Singapore 168732,62762123,168732,1.28646345355064,103.826935079694
McDonald's Bedok Reservoir,Blk 632 Bedok Reservoir Road #01-850 Singapore 470632,62440227,470632,1.33205094618817,103.914145075793
McDonald's Bedok North,Blk 539 Bedok North Street 3 #01-643. Singapore 460539,64493787,460539,1.33131386579703,103.925307290709
McDonald's Bukit Gombak,Blk 374 Bukit Batok Street 31 #01-198 & #01-202. Singapore 650374,65612830,650374,1.35798291106742,103.750736425731
McDonald's Tampines Neighborhood 3,"5 Tampines Street 32 #01-01, Tampines Mart. Singapore 529284",67883225,529284,1.35436981591879,103.959906449844
McDonald's Bugis Junction,200 Victoria Street #01-66 Bugis Junction. Singapore 188021,63393690,188021,1.29911287475873,103.855411173758
McDonald's Hougang 8,"Block 684 Hougang Avenue 8, #01-999 Singapore 530684",63852703,530684,1.3739584050047,103.886898456705
McDonald's Ave 4,"Block 163, Ang Mo Kio, Avenue 4 #01-438 Singapore 560163",64555672,560163,1.37354853919927,103.838176471398
McDonald's Bendemeer,Block 22 Boon Keng Road #01-01 Singapore 330022,62982250,330022,1.31817642675037,103.861403795159
McDonald's Tampines Mall,No. 4 Tampines Central 5 #01-33 Tampines Mall. Singapore 529510,67812654,529510,1.35250468330971,103.944682574769
McDonald's Jurong Point,"1 Jurong West Central 2 #01-31, Jurong Point Shopping Centre. Singapore 648886",67935481,648886,1.3394520043632,103.706685012926
McDonald's Yishun Ring Road,PART OF Blk 293 Yishun Street 22 #01-237. Singapore 760293,67538382,760293,1.43611425409216,103.837605235958
McDonald's Jurong Green CC,"6A Jurong West Avenue 1, Jurong Green Community Club. Singapore 649520",65692887,649520,1.3505471715128,103.725397680726
McDonald's Potong Pasir,Blk 148 Potong Pasir Avenue 1 #01-43. Singapore 350148,62814486,350148,1.3323543597317,103.86777426102
McDonald's Geylang East Central,113 Aljunied Avenue 2 #01-01. Singapore 380113,67427613,380113,1.32052595935167,103.886159306934
McDonald's Toa Payoh Lorong 1,Blk 109 Toa Payoh Lorong 1 #01-318 Singapore 310109,62589049,310109,1.34123727120826,103.846202460812
McDonald's Fajar,Blk 445 Fajar Road #01-520. Singapore 670445,67641080,670445,1.38339951629579,103.771086145173
McDonald's Serangoon Avenue 3,Blk 267 Serangoon Avenue 3 #01-37 Singapore 550267,62812079,550267,1.35319405066769,103.870920824793
McDonald's Choa Chu Kang 62,Blk 624 Choa Chu Kang Street 62 #01-262/264. Singapore 680624,67628779,680624,1.39804736153015,103.747084778932
McDonald's Choa Chu Kang 4,21 Choa Chu Kang Avenue 4 #01-20 Lot One Shoppers' Mall. Singapore 689812,67635908,689812,1.38497459672379,103.745011766388
McDonald's Jurong East 24,Blk 256 Jurong East Street 24 #01-381. Singapore 600256,66655527,600256,1.34416527251747,103.738263367232
McDonald's Bukit Panjang Plaza,1 Jelebu Road #02-01 Bukit Panjang Plaza Singapore 677743,68928572,677743,1.38050296962711,103.764004651432
McDonald's Parklane,"35 Selegie Road #B1-38, Parklane Shopping Mall, Singapore 188307",63339095,188307,1.30064530196806,103.849448612005
McDonald''s Tampines West CC,5 Tampines Avenue 3 #01-07 Tampines West Community Club. Singapore 529705,67837366,529705,1.34875950111412,103.935689637762
McDonald's Causeway Point,1 Woodlands Square #01-35/36/37 Causeway Point. Singapore 738099,68941461,738099,1.4360700650803,103.785981524253
McDonald's SengKang Rivervale,Blk 118 Rivervale Drive #01-32. Singapore 540118,68810380,540118,1.38493202140034,103.901558018666
McDonald's Bishan Junction 8,9 Bishan Place #01-20 Junction 8 Shopping Centre. Singapore 579837,62505898,579837,1.35042215656701,103.848826189269
McDonald's Rivervale Mall,11 Rivervale Crescent#01-26/26A/27 Rivervale Mall. Singapore 545082,63887320,545082,1.39219777838449,103.904471600025
McDonald's Harbour Front Centre,1 Maritime Square #01-86/87/88/89 Harbourfront Centre. Singapore 099253,62718809,99253,1.26347253624101,103.820227174699
McDonald's Woodlands Civic Centre,Blk 900 South Woodlands Drive #01-01 & #01-08 Woodlands Civic Centre. Singapore 730900,67641700,730900,1.43505698925938,103.787004308703
McDonald's Chua Chu Kang CC,35 Teck Whye Avenue #01-01 Chua Chu Kang Community Club. Singapore 688892,67630401,688892,1.38115529117059,103.751903879838
McDonald's Toa Payoh HDB Center,490 Lorong 6 Toa Payoh #01-11. Singapore 310490,63972392,310490,1.33257175110754,103.848052603546
McDonald's Woodlands Mart,Blk 768 Woodlands Avenue 6 #01-01. Singapore 730768,63632950,730768,1.44571784134906,103.798166316676
